parameter1,parameter2,average,standard deviation
25.0,0.00422453125,0.10839968100190163,0.046892353962403266
97.0,0.00921953125,0.10909627899527549,0.047683526768245214
134.0,0.00172703125,0.11053583398461342,0.048764949701304586
61.0,0.00672203125,0.10881101936101914,0.047634457997036056
43.0,0.0004782812500000001,0.11034210473299026,0.04897733821185895
116.0,0.00547328125,0.10932640880346298,0.04793864832411575
79.0,0.00297578125,0.10951907262206077,0.047882795246284575
7.0,0.00797078125,0.11007404401898384,0.04764713172192554
8.0,0.003990390625,0.10903702825307846,0.0481055580935949
80.0,0.008985390625,0.10955123826861382,0.04799593851038465
117.0,0.001492890625,0.11011843010783195,0.048999161320167454
44.0,0.006487890625,0.10880201905965806,0.04775582976337159
62.0,0.00024414062500000005,0.11014285609126091,0.048890245635525686
135.0,0.005239140625,0.10948419570922852,0.0479861822249437
99.0,0.002741640625,0.10907369628548622,0.04768580836027424
26.0,0.007736640625,0.10998118743300438,0.04772847757644914
35.0,0.0021172656250000002,0.10916006714105606,0.0478302650878838
108.0,0.007112265625,0.10885879099369049,0.04740148982061635
144.0,0.0046147656249999995,0.10976717621088028,0.04801006529255633
71.0,0.009609765625,0.10886107236146927,0.047424079878018256
53.0,0.003366015625,0.10920696631073952,0.047697078830418876
126.0,0.008361015625,0.10931945294141769,0.04754198458091325
89.0,0.000868515625,0.11053094789385795,0.048911116677017356
17.0,0.005863515625,0.10898435562849045,0.04785100697472145
21.0,0.0011807031250000001,0.10898951143026352,0.0479917014664778
94.0,0.006175703125,0.10887197405099869,0.047784725664738854
130.0,0.003678203125,0.10895940214395523,0.04759148341684106
58.0,0.008673203125,0.10914226472377778,0.04820073367565184
76.0,0.0049269531249999995,0.1093356229364872,0.04752694867438497
148.0,0.009921953125,0.1097233884036541,0.04783611130375567
112.0,0.002429453125,0.10997043997049331,0.04846434191037163
40.0,0.007424453125,0.1092664510011673,0.04765091395222885
31.0,0.003053828125,0.10913330391049385,0.04809326035176639
103.0,0.008048828125,0.10871964618563652,0.04751978252291024
139.0,0.0005563281250000001,0.11085341721773148,0.049161743690464714
67.0,0.005551328125,0.10901320576667786,0.04773829081997893
49.0,0.001805078125,0.10877547189593315,0.047578379740483547
121.0,0.006800078125,0.10873289927840232,0.04806171820767896
85.0,0.0043025781249999995,0.10917017832398415,0.04780031913716985
12.0,0.009297578125,0.1102471336722374,0.04757342226476873
10.0,0.001336796875,0.10839015990495682,0.047183688670317483
83.0,0.006331796875,0.10956260040402413,0.04784386420343237
119.0,0.0038342968750000005,0.10937390178442001,0.047898315698983764
46.0,0.008829296875,0.10964055806398391,0.04846286043279701
65.0,0.002585546875,0.10940709561109543,0.04807151734767962
137.0,0.007580546875,0.10902570337057113,0.047846958942492496
101.0,8.8046875e-05,0.1125255286693573,0.04963311477377556
28.0,0.005083046875,0.10909363776445388,0.047420559437959815
37.0,0.0044586718749999995,0.10908480733633041,0.04812603687516775
110.0,0.009453671875,0.10903601795434952,0.047121227795041104
146.0,0.0019611718750000002,0.11042686700820922,0.04882311467042329
74.0,0.006956171875,0.10902133956551552,0.04786101657417827
55.0,0.0007124218750000001,0.11002407744526863,0.04844292439885136
128.0,0.005707421875,0.10909361019730568,0.04769955770157001
92.0,0.003209921875,0.10948385819792747,0.047929075178300536
19.0,0.008204921875,0.10854658186435699,0.04724350073735353
15.0,0.003522109375,0.10852608159184456,0.04725526148113917
87.0,0.008517109375,0.10881400406360626,0.04710184869115277
123.0,0.0010246093750000001,0.11066857427358627,0.04889939888352193
51.0,0.006019609375,0.10918572470545769,0.048341808362832035
69.0,0.002273359375,0.10966895818710327,0.04807649409881113
142.0,0.007268359375,0.10915410220623016,0.047773101877683494
105.0,0.0047708593749999995,0.10908636897802353,0.04762812195168165
33.0,0.009765859375,0.10884484872221947,0.046797749007794806
24.0,0.00040023437500000004,0.10995186641812324,0.04860866030313162
96.0,0.005395234375,0.10888097882270813,0.04726221684418814
133.0,0.002897734375,0.11002726927399635,0.04851333763048819
60.0,0.007892734375,0.10949042439460754,0.047806218037838334
42.0,0.0041464843749999996,0.10917215794324875,0.048006845232266865
114.0,0.009141484375,0.10882082507014275,0.04773322601464297
78.0,0.001648984375,0.10965021327137947,0.04839451681552511
6.0,0.006643984375,0.10934752374887466,0.04752367619440134
6.0,0.0033269921875000003,0.10880894735455512,0.04761102215071589
79.0,0.0083219921875,0.10974187627434731,0.04786826871957602
115.0,0.0008294921875,0.11061792001128197,0.04884710892863753
