parameter1,parameter2,average,standard deviation
85.0,0.0056683984375,0.09416712274154028,0.033435963291825216
122.0,0.0031708984375000003,0.09878535456955433,0.03504919432311816
49.0,0.0081658984375,0.09235640006760756,0.03229026584009915
67.0,0.0044196484375,0.09410222967465719,0.033357029118322314
140.0,0.009414648437500001,0.09398399169246356,0.03323657580984567
104.0,0.0019221484375000002,0.10386702169974645,0.03565660873931582
31.0,0.0069171484375,0.09214825096229712,0.03225587365681376
40.0,0.0025465234375000004,0.09405808312197526,0.03327864848075945
113.0,0.0075415234375,0.09348315075039863,0.03290965860506937
149.0,4.90234375e-05,0.8182015587886174,0.3281207438849191
76.0,0.0050440234375,0.09417133977015814,0.0333766098144732
58.0,0.0012977734375,0.10067808317641418,0.03525041954507913
131.0,0.0062927734375,0.09496241100132466,0.03359535454127437
95.0,0.0037952734375000003,0.09585158675909042,0.03430101978013435
22.0,0.008790273437500001,0.09131105666359265,0.03184961757088338
18.0,0.0041074609375,0.09236484418312708,0.03243234309400596
90.0,0.009102460937500001,0.0921767570078373,0.03194362525959046
126.0,0.0016099609375,0.10754250027239323,0.036674544819423754
54.0,0.0066049609375,0.09247795070211093,0.03224919616906163
72.0,0.00036121093750000004,0.14043060888846715,0.04406538178761155
144.0,0.0053562109375,0.09502408901850383,0.03350563411229921
108.0,0.0028587109375000004,0.09804414870838324,0.034856337372129044
36.0,0.0078537109375,0.09191432918111483,0.031987257641386345
27.0,0.0022343359375,0.09380745614568392,0.03317577260181655
99.0,0.0072293359375,0.0942300076285998,0.0333410223320994
135.0,0.0047318359375,0.0952093900491794,0.03338746982903893
63.0,0.009726835937500001,0.09271707559625307,0.03260143621989973
45.0,0.0034830859375000003,0.0934129277865092,0.03283172817483244
117.0,0.0084780859375,0.09392885143558184,0.0331873778745492
81.0,0.0009855859375000001,0.11275430520375569,0.036005121994223385
8.0,0.0059805859375,0.09035345427691936,0.031331766975926094
7.0,0.0020001953125,0.0919885570804278,0.03221229190121222
80.0,0.0069951953125,0.09253804671267668,0.03221789777341286
116.0,0.0044976953125,0.09578551848729451,0.03392138888739832
44.0,0.0094926953125,0.09195867168406645,0.03210315157211003
62.0,0.0032489453125000003,0.09438620122770468,0.03331918566577151
